t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.011093388918209914,0.8406117838041738,-0.028769760170448848,2.218677783641983,3.0,0.0,0.0,-0.96,0.0,False,0.013234841579296157,0.014026603888071918,0.6617541816908844,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,0.0022188400919444344,0.0,0.0,0.8693815439746226,0.8406117838041738,0.0
1.0,0.0,0.0,-0.09233413862841625,0.6823588018790194,-0.16282725728061814,-18.46682772568325,3.0,0.0,0.11094403363653281,0.29,0.0,False,0.009252481007767457,0.09233413862841625,0.4626288385337763,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,-0.018467592242279948,0.0,-0.15825298192515436,0.8451860591596376,0.5714147682424866,0.15825298192515436
2.0,0.0,0.0,-0.08192140144193981,1.009638438207252,-0.45382601329468764,-16.384280288387963,3.0,0.0,-0.0827773852618275,0.16,0.0,False,0.008564700652594176,0.08192140144193981,0.4282382552994236,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,-0.016384773482288607,0.0,0.32727963632823265,1.4634644515019397,1.0924158234690795,0.32727963632823265
3.0,0.0,0.0,-0.12465105369140587,0.8088871539038618,-0.42085173869859216,-24.930210738281176,3.0,0.0,-0.13688603739113878,0.18,0.0,False,0.007355210266286582,0.12465105369140589,0.36776278243650223,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,-0.024930826022879486,0.0,-0.2007512843033903,1.229738892602454,0.9457731912950006,0.2007512843033903
4.0,0.0,0.0,-0.11001133852312137,1.160394943452341,-0.4184243957521116,-22.002267704624273,3.0,0.0,-0.2369105542314744,0.18,0.0,False,0.006752540213310944,0.11001133852312137,0.3376288431646217,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,-0.02200274537868585,0.0,0.3515077895484793,1.5788193392044527,1.3973054976838155,0.3515077895484793
5.0,0.0,0.0,-0.15388729987857896,1.4310999068951868,-0.4875285409690358,-30.777459975715793,3.0,0.0,-0.29125608611823894,0.21,0.0,False,0.005945597866657438,0.15388729987857896,0.29728137709447877,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,-0.030778074429455415,0.0,0.2707049634428458,1.9186284478642226,1.7223559930134258,0.2707049634428458
6.0,0.0,0.0,-0.1878645267834608,1.952886961850937,-0.46769565907706284,-37.57290535669216,3.0,0.0,-0.3785164588838509,0.02,0.0,False,0.005812657378797725,0.1878645267834608,0.29063424185959824,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,-0.03757361531546463,0.0,0.5217870549557502,2.4205826209279997,2.331403420734788,0.5217870549557502
7.0,0.0,0.0,-0.2410349508930396,1.9415355838341442,-0.42377798530386385,-48.206990178607924,3.0,0.0,-0.44758973357231185,0.05,0.0,False,0.005455114381703339,0.2410349508930396,0.2727569618084092,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,-0.04820786873285978,0.0,-0.011351378016792868,2.365313569138008,2.389125317406456,0.011351378016792868
8.0,0.0,0.0,-0.2377522864980954,1.7225287933174276,-0.38747302469295186,-47.55045729961908,3.0,0.0,-0.4575174569703786,-0.11,0.0,False,0.005591218349882473,0.2377522864980954,0.27956216133598005,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,-0.0475513035550465,0.0,-0.21900679051671657,2.1100018180103794,2.1800462502878064,0.21900679051671657
9.0,0.0,0.0,-0.2146828511581936,1.8837328072824115,-0.25774594976736087,-42.93657023163872,3.0,0.0,-0.4360401723463502,-0.02,0.0,False,0.005309456042841738,0.21468285115819355,0.26547396503289233,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,-0.04293732255464315,0.0,0.16120401396498396,2.1414787570497724,2.3197729796287616,0.16120401396498396
