t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.013955718657004963,0.5582497195076495,0.13239489431691154,2.7911437314009926,3.0,0.0,0.0,-0.68,0.0,False,0.01387596539744557,0.016083793339025824,0.6938109588800953,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,0.0027913479186896027,0.0,0.0,0.4258548251907379,0.5582497195076495,0.0
1.0,0.0,0.0,-0.0403743793693884,0.5702333944190531,0.16276579115270703,-8.07487587387768,3.0,0.0,0.13956994850898904,0.22,0.0,False,0.010660323322885143,0.0403743793693884,0.5330216828460018,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,-0.008075210169335111,0.0,0.011983674911403619,0.407467603266346,0.430663445910064,0.011983674911403619
2.0,0.0,0.0,-0.042270688246783664,0.3613549615328441,0.19260232786710793,-8.454137649356733,3.0,0.0,0.15448503213142922,0.29,0.0,False,0.00849761353061463,0.042270688246783664,0.4248838739573415,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,-0.008454392132864735,0.0,-0.208878432886209,0.16875263366573615,0.20686992940141485,0.208878432886209
3.0,0.0,0.0,-0.012940273295377804,0.11429429924134896,0.21507905946562056,-2.588054659075561,3.0,0.0,0.14751060661227208,0.14,0.0,False,0.007666080114288072,0.013281114492375543,0.3833063707416073,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,-0.0025881185329909495,0.0,-0.24706066229149512,-0.1007847602242716,-0.033216307370923126,0.24706066229149512
4.0,0.0,0.0,0.015971635928153895,0.4192313953071396,0.16792091102223344,3.194327185630779,3.0,0.0,0.2319482364347224,0.12,0.0,False,0.006731848793210378,0.01602344913024324,0.33659426654437197,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,0.003194396535175165,0.0,0.30493709606579067,0.25131048428490615,0.1872831588724172,0.30493709606579067
5.0,0.0,0.0,-0.016210428221696063,0.8597611103006126,0.2595948540927903,-3.2420856443392125,3.0,0.0,0.27401499289293707,-0.06,0.0,False,0.006572429864689911,0.01623566627508847,0.3286231334259979,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,-0.003242150370656781,0.0,0.44052971499347304,0.6001662562078223,0.5857461174076756,0.44052971499347304
6.0,0.0,0.0,-0.056396520644021,0.6901460203212466,0.2748027024694232,-11.2793041288042,3.0,0.0,0.25712306767513987,0.08,0.0,False,0.0065637052218797025,0.056396520644021016,0.3281868114073264,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,-0.011279517256877147,0.0,-0.16961508997936603,0.41534331785182343,0.43302295264610674,0.16961508997936603
7.0,0.0,0.0,-0.0390353147796774,0.945895150751077,0.38447242626645983,-7.80706295593548,3.0,0.0,0.2957825832929187,0.17,0.0,False,0.005917440969634899,0.039035314779677394,0.2958733965270677,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,-0.007807205236719429,0.0,0.2557491304298304,0.5614227244846172,0.6501125674581583,0.2557491304298304
8.0,0.0,0.0,-0.0573172454648971,0.46347229023730124,0.41164864278147206,-11.46344909297942,3.0,0.0,0.2997839799349597,0.16,0.0,False,0.0055825059713370566,0.0573172454648971,0.2791265404705234,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,-0.011463653107968187,0.0,-0.48242286051377575,0.05182364745582918,0.16368831030234154,0.48242286051377575
9.0,0.0,0.0,-0.005544648409911077,0.790617600273591,0.525020726298031,-1.1089296819822154,3.0,0.0,0.3727099451085756,0.11,0.0,False,0.005686033189720446,0.006574303351128086,0.28430290485572923,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,-0.001108949112349046,0.0,0.3271453100362897,0.26559687397556,0.4179076551650154,0.3271453100362897
10.0,0.0,0.0,-0.03394753958212115,0.8343145733834849,0.6495325579141674,-6.789507916424229,3.0,0.0,0.408024591734944,0.06,0.0,False,0.005632928793845502,0.03394753958212115,0.2816476608751664,0.0433587192744284,4.335871927442841e-06,4.3358719274428405e-06,-0.00678962566966077,0.0,0.043696973109893955,0.1847820154693175,0.4262899816485409,0.043696973109893955
11.0,0.0,0.0,-0.03448844159655306,0.3522514305449896,0.5961247261748643,-6.897688319310611,3.0,0.0,0.4511348448431855,0.12,0.0,False,0.0049602971115352956,0.03448844159655305,0.24801592374572767,0.04306874926707378,4.3068749267073785e-06,4.306874926707378e-06,-0.006897807148722329,0.0,-0.48206314283849533,-0.24387329562987475,-0.09888341429819592,0.48206314283849533
12.0,0.0,0.0,0.016028204129066085,0.08908654613248362,0.4732162610028055,3.205640825813217,3.0,0.0,0.4894227305477356,0.01,0.0,False,0.005058396701993726,0.01602820412906609,0.2529209196107309,0.042879635920764284,4.287963592076431e-06,4.28796359207643e-06,0.003205695808262053,0.0,-0.26316488441250596,-0.3841297148703219,-0.400336184415252,0.26316488441250596
13.0,0.0,0.0,0.04959696852980837,-1.0054970521122426,0.5985193394265947,9.919393705961674,3.0,0.0,0.5125369082534379,0.18,0.0,False,0.004677980481174308,0.04959696852980837,0.23390002411938468,0.04275608559413131,4.2756085594131314e-06,4.275608559413132e-06,0.00991956335101487,0.0,-1.0945835982447263,-1.6040163915388375,-1.5180339603656805,1.0945835982447263
14.0,0.0,0.0,0.1589462143446805,-1.181400096354735,0.620373218234028,31.7892428689361,3.0,0.0,0.5850668342917255,-0.07,0.0,False,0.005040925173255224,0.1589462143446805,0.25204733427715353,0.042675277071923805,4.26752770719238e-06,4.267527707192379e-06,0.031789785512519285,0.0,-0.17590304424249248,-1.801773314588763,-1.7664669306464607,0.17590304424249248
15.0,0.0,0.0,0.1853364166479788,-0.6378316728147833,0.7699854640651138,37.06728332959576,3.0,0.0,0.5839990067032454,0.15,0.0,False,0.005194831409097037,0.18533641664797876,0.25974267753536945,0.04262238484319971,4.2622384843199725e-06,4.262238484319972e-06,0.03706791528530826,0.0,0.5435684235399518,-1.407817136879897,-1.2218306795180287,0.5435684235399518
16.0,0.0,0.0,0.1372016548653023,0.4380386879693011,0.8760237601820388,27.440330973060462,3.0,0.0,0.6720035675254316,0.17,0.0,False,0.005071647742010741,0.1372016548653023,0.2535834670508197,0.04258774810914817,4.2587748109148164e-06,4.258774810914817e-06,0.027440798419831096,0.0,1.0758703607840845,-0.43798507221273764,-0.23396487955613043,1.0758703607840845
17.0,0.0,0.0,0.03404955343776532,1.487281766501147,0.8219110141422283,6.809910687553064,3.0,0.0,0.7342140913858265,-0.01,0.0,False,0.0053627718212059545,0.03404955343776532,0.26813973239378935,0.042565058879555154,4.256505887955516e-06,4.256505887955516e-06,0.006810026632759297,0.0,1.049243078531846,0.6653707523589187,0.7530676751153206,1.049243078531846
18.0,0.0,0.0,-0.07133737103822771,1.7932449985688494,0.8575487605506427,-14.267474207645542,3.0,0.0,0.7785414689531889,0.11,0.0,False,0.00505955753728799,0.07133737103822771,0.25297895329014614,0.042550192925283656,4.255019292528367e-06,4.2550192925283665e-06,-0.014267717040124315,0.0,0.3059632320677024,0.9356962380182068,1.0147035296156606,0.3059632320677024
