t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.006350584167834953,0.30958390634359223,0.016205408391113545,1.2701168335669906,3.0,0.0,0.0,-0.97,0.0,False,0.013046649070163197,0.011288303869771088,0.6523443841398163,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,0.001270209749495879,0.0,0.0,0.29337849795247867,0.30958390634359223,0.0
1.0,0.0,0.0,-0.03160169058327527,-0.12022386125873252,-0.09991193965455822,-6.320338116655054,3.0,0.0,0.06351164903011487,0.25,0.0,False,0.009613551380430338,0.03160169058327528,0.4806825440203108,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,-0.0063205997752061975,0.0,-0.42980776760232475,-0.020311921604174304,-0.18373551028884738,0.42980776760232475
2.0,0.0,0.0,-0.0014413535531687177,0.8703644036733932,-0.3941709290895956,-0.28827071063374354,3.0,0.0,-0.006449353317866819,0.29,0.0,False,0.008118191204649416,0.006594441578264006,0.40591261489252206,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,-0.0002882793880583063,0.0,0.9905882649321257,1.2645353327629887,0.87681375699126,0.9905882649321257
3.0,0.0,0.0,-0.11341057622824856,1.5281258673863571,-0.5486722891246547,-22.68211524564971,3.0,0.0,-0.13463793913353622,0.33,0.0,False,0.0070650611216076815,0.11341057622824856,0.35325523568997574,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,-0.022682675046620276,0.0,0.657761463712964,2.076798156511012,1.6627638065198933,0.657761463712964
4.0,0.0,0.0,-0.18827263582030326,1.3903847771595423,-0.6495240553538483,-37.65452716406065,3.0,0.0,-0.26377634638562986,0.34,0.0,False,0.006451485079970694,0.1882726358203033,0.32257600479750287,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,-0.03765534465211092,0.0,-0.1377410902268148,2.0399088325133907,1.654161123545172,0.1377410902268148
5.0,0.0,0.0,-0.18515370164996992,1.6545024369118755,-0.7034324608264109,-37.03074032999398,3.0,0.0,-0.35465158409712866,0.4,0.0,False,0.006167508300789175,0.18515370164996992,0.30837695418022004,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,-0.037031479626768136,0.0,0.26411765975233314,2.3579348977382866,2.009154021009004,0.26411765975233314
6.0,0.0,0.0,-0.2194577887568028,2.0781075306012022,-0.5907547111776008,-43.89155775136056,3.0,0.0,-0.46119844561916146,0.16,0.0,False,0.005684499017101272,0.2194577887568028,0.284226293504431,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,-0.043892387104219145,0.0,0.42360509368932675,2.668862241778803,2.539305976220364,0.42360509368932675
7.0,0.0,0.0,-0.26643962890772693,1.6387112703096665,-0.7267245054620646,-53.28792578154539,3.0,0.0,-0.5401272854546758,0.12,0.0,False,0.005494628790183309,0.26643962890772693,0.27473269123413896,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,-0.05328889693393624,0.0,-0.4393962602915358,2.365435775771731,2.1788385557643424,0.4393962602915358
8.0,0.0,0.0,-0.22572844439951162,1.6087978455820582,-0.8186397555142396,-45.14568887990232,3.0,0.0,-0.5863494557770427,0.07,0.0,False,0.005553024021991663,0.22572844439951162,0.2776524364445968,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,-0.045146492337669264,0.0,-0.029913424727608273,2.427437601096298,2.1951473013591007,0.029913424727608273
9.0,0.0,0.0,-0.22573796641499222,2.500329118140975,-0.6387506979755357,-45.14759328299844,3.0,0.0,-0.618623390019309,0.05,0.0,False,0.0053688797412979865,0.22573796641499222,0.26844516297083715,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,-0.04514838434695251,0.0,0.8915312725589168,3.139079816116511,3.118952508160284,0.8915312725589168
