t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,-0.004427540730589645,-0.6759519078608138,0.02903959007778952,-0.8855081461179289,1.0,0.0,0.0,-0.84,0.0,False,0.009059893500706932,0.008055759581731655,0.45301259015607914,0.39548192771084345,3.954819277108434e-05,3.954819277108435e-05,-0.00088564822156565,0.0,0.0,-0.7049914979386034,-0.6759519078608138,0.0
1.0,0.0,0.0,0.05917418936032119,-0.6841107587800991,-0.12080281139483558,11.834837872064238,1.0,0.0,-0.04428416236761219,-0.01,0.0,False,0.00864885938283652,0.05917418936032119,0.4324537676285358,0.24970892072370304,2.4970892072370302e-05,2.4970892072370302e-05,0.011836019948383528,0.0,-0.008158850919285254,-0.5633079473852635,-0.6398265964124868,0.008158850919285254
2.0,0.0,0.0,0.05714840362380883,-0.6162578089442705,-0.17902394058095672,11.429680724761766,1.0,0.0,-0.08413613264280262,0.14,0.0,False,0.007848043249513412,0.05714840362380883,0.3924094441149796,0.1855657283607953,1.8556572836079535e-05,1.8556572836079532e-05,0.011430529091830425,0.0,0.06785294983582857,-0.4372338683633138,-0.5321216763014679,0.06785294983582857
3.0,0.0,0.0,0.04191612751127958,-0.7682730877991261,-0.19298108902099298,8.383225502255916,1.0,0.0,-0.11257369861629543,0.04,0.0,False,0.007248141619709318,0.04191612751127958,0.3624125292151595,0.15033452654348473,1.5033452654348474e-05,1.503345265434847e-05,0.008383729609972149,0.0,-0.15201527885485555,-0.5752919987781331,-0.6556993891828307,0.15201527885485555
4.0,0.0,0.0,0.0631579624300577,0.02159188088326114,0.20943981215657737,12.63159248601154,1.0,0.0,-0.19706502662555525,0.21,0.0,False,0.006596460627524329,0.0631579624300577,0.32982727324319855,0.12861039341098898,1.28610393410989e-05,1.2861039341098898e-05,0.012632242299285865,0.0,0.7898649686823872,-0.18784793127331623,0.2186569075088164,0.7898649686823872
5.0,0.0,0.0,-0.016211250912726995,-0.07886201669557115,0.08940706864999773,-3.2422501825453987,1.0,0.0,-0.13665284964657404,0.1,0.0,False,0.00578415604209509,0.016211250912726995,0.2892111062312173,0.11424748706068398,1.1424748706068395e-05,1.1424748706068397e-05,-0.00324239834842695,0.0,-0.10045389757883229,-0.1682690853455689,0.05779083295100289,0.10045389757883229
6.0,0.0,0.0,-0.004927291484593026,0.2948573753394063,0.114953090011829,-0.9854582969186052,1.0,0.0,-0.14052988871740313,0.03,0.0,False,0.0053302669743304325,0.0059045248519673165,0.266516128686668,0.10430885206491432,1.0430885206491433e-05,1.0430885206491434e-05,-0.0009854994132992086,0.0,0.37371939203497745,0.1799042853275773,0.43538726405680944,0.37371939203497745
7.0,0.0,0.0,-0.04241576389882632,0.9282057461853888,0.026568302871148267,-8.483152779765264,1.0,0.0,-0.12813750134209415,0.04,0.0,False,0.005298256268325399,0.04241576389882632,0.2649153887131131,0.09721299660661761,9.721299660661762e-06,9.721299660661762e-06,-0.008483482645639494,0.0,0.6333483708459824,0.9016374433142404,1.056343247527483,0.6333483708459824
8.0,0.0,0.0,-0.1047457725587178,1.235939948890788,-0.01313272684642075,-20.949154511743558,1.0,0.0,-0.12932088046641657,0.05,0.0,False,0.005015514922718045,0.1047457725587178,0.25077805409582515,0.09203282049648383,9.20328204964838e-06,9.203282049648383e-06,-0.020949925708556708,0.0,0.3077342027053993,1.2490726757372088,1.3652608293572046,0.3077342027053993
9.0,0.0,0.0,-0.13737983514335692,0.6973575812626985,0.012480377145740452,-27.47596702867138,1.0,0.0,-0.11930017964620739,-0.05,0.0,False,0.004662712998110452,0.13737983514335692,0.23313770591514418,0.08818941343401722,8.818941343401728e-06,8.818941343401726e-06,-0.027476936255890122,0.0,-0.5385823676280895,0.6848772041169581,0.816657760908906,0.5385823676280895
