t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.010646006638909413,0.3391437004784805,-0.035527783777158484,2.1292013277818826,3.0,0.0,0.0,-0.92,0.0,False,0.01261367841525867,0.013496947241535806,0.6306954554604788,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,0.0021293570903967323,0.0,0.0,0.374671484255639,0.3391437004784805,0.0
1.0,0.0,0.0,-0.03966951249122109,-0.27621876560719927,-0.21451810856435322,-7.933902498244217,3.0,0.0,0.10646980173057048,0.35,0.0,False,0.009943775984868165,0.03966951249122109,0.4971939451329524,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,-0.007934230957480777,0.0,-0.6153624660856798,-0.06170065704284605,-0.38268856733776974,0.6153624660856798
2.0,0.0,0.0,0.01812486431752649,-0.19821629743500851,-0.09704400668895137,3.624972863505298,3.0,0.0,-0.057571953348486866,0.25,0.0,False,0.008318169719970996,0.018140415877197013,0.41591161590521286,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,0.0036250819811763104,0.0,0.07800246817219075,-0.10117229074605714,-0.14064434408652166,0.07800246817219075
3.0,0.0,0.0,0.017138590507785937,-0.8750424441904692,-0.041643131524822116,3.4277181015571876,3.0,0.0,-0.0949633025261735,0.12,0.0,False,0.007559625947884148,0.017148556536941643,0.3779836295797246,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,0.0034278026986020085,0.0,-0.6768261467554606,-0.833399312665647,-0.7800791416642957,0.6768261467554606
4.0,0.0,0.0,0.08634735090026796,-1.562037988316745,0.02940232587527085,17.26947018005359,3.0,0.0,-0.026825105009224505,0.19,0.0,False,0.0066019371477537845,0.08634735090026796,0.3300986490162217,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,0.017269845104042017,0.0,-0.6869955441262758,-1.591440314192016,-1.5352128833075205,0.6869955441262758
5.0,0.0,0.0,0.15432940078719518,-1.5665666645336649,-0.2734979139064676,30.865880157439033,3.0,0.0,-0.01154550231132969,0.12,0.0,False,0.006041556227108228,0.15432940078719515,0.30207931906403496,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,0.030866496376435154,0.0,-0.00452867621691988,-1.2930687506271972,-1.555021162222335,0.00452867621691988
6.0,0.0,0.0,0.15704701878626146,-1.2298082340111058,-0.10044108300807034,31.40940375725229,3.0,0.0,-0.018705466565309276,-0.06,0.0,False,0.005765025100351662,0.15704701878626146,0.28825261668679636,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,0.03140999725359025,0.0,0.33675843052255905,-1.1293671510030354,-1.2111027674457966,0.33675843052255905
7.0,0.0,0.0,0.12090817844320753,-1.0379914576379488,-0.13079819375970234,24.181635688641506,3.0,0.0,0.00394061702529825,0.02,0.0,False,0.005391216687814582,0.12090817844320753,0.2695620625575122,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,0.02418207638985045,0.0,0.19181677637315708,-0.9071932638782464,-1.041932074663247,0.19181677637315708
8.0,0.0,0.0,0.10484603452347649,-1.236843146384111,0.020188614715496656,20.969206904695298,3.0,0.0,-0.02069890562797688,0.02,0.0,False,0.005407903729801132,0.10484603452347649,0.27039638955110595,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,0.020969580093643615,0.0,-0.19885168874616221,-1.2570317610996076,-1.216144240756134,0.19885168874616221
9.0,0.0,0.0,0.13062846410492052,-1.5809175907435316,0.09767927798071464,26.125692820984103,3.0,0.0,0.010492212009862391,-0.02,0.0,False,0.005572848251299054,0.13062846410492054,0.27864363314460144,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,0.026126150588328113,0.0,-0.3440744443594206,-1.6785968687242463,-1.591409802753394,0.3440744443594206
10.0,0.0,0.0,0.17119023298899738,-0.9916948239457983,0.26572006074436066,34.238046597799475,3.0,0.0,0.06947010524942175,0.09,0.0,False,0.005799354644799833,0.17119023298899733,0.28996898950294175,0.0433587192744284,4.335871927442841e-06,4.3358719274428405e-06,0.034238640402365184,0.0,0.5892227667977332,-1.257414884690159,-1.06116492919522,0.5892227667977332
11.0,0.0,0.0,0.11463124688301103,-1.344343787051107,0.19382838821749987,22.926249376602208,3.0,0.0,0.13102185209271552,0.06,0.0,False,0.005601583833707213,0.11463124688301103,0.2800803979514088,0.04306874926707378,4.3068749267073785e-06,4.306874926707378e-06,0.022926644336855585,0.0,-0.3526489631053087,-1.5381721752686068,-1.4753656391438226,0.3526489631053087
12.0,0.0,0.0,0.14999358051566936,-1.3512632099857795,0.09643430539503463,29.998716103133873,3.0,0.0,0.1546423300064633,0.06,0.0,False,0.005379486279757385,0.14999358051566936,0.2689754673399349,0.042879635920764284,4.287963592076431e-06,4.28796359207643e-06,0.02999923063453739,0.0,-0.0069194229346725145,-1.4476975153808143,-1.5059055399922427,0.0069194229346725145
13.0,0.0,0.0,0.1471384059482348,-2.262999373846074,0.22515392385486088,29.42768118964696,3.0,0.0,0.15562417645619994,0.0,0.0,False,0.005232446972984668,0.1471384059482348,0.2616234672439866,0.04275608559413131,4.2756085594131314e-06,4.275608559413132e-06,0.02942818447247743,0.0,-0.9117361638602943,-2.4881532977009346,-2.4186235503022737,0.9117361638602943
14.0,0.0,0.0,0.24312808936653607,-2.608615346774943,0.09477665626646317,48.62561787330721,3.0,0.0,0.12015230480796282,0.02,0.0,False,0.005127463926769112,0.2431280893665361,0.25637429041817433,0.042675277071923805,4.26752770719238e-06,4.267527707192379e-06,0.0486264479144512,0.0,-0.34561597292886903,-2.7033920030414063,-2.728767651582906,0.34561597292886903
15.0,0.0,0.0,0.2775052502888459,-2.115717020846552,0.09610138177531297,55.50105005776917,3.0,0.0,0.16833339761217483,-0.07,0.0,False,0.005623744140548556,0.2775052502888459,0.28118840551436286,0.04262238484319971,4.2622384843199725e-06,4.262238484319972e-06,0.055501996288581996,0.0,0.4928983259283908,-2.2118184026218652,-2.284050418458727,0.4928983259283908
16.0,0.0,0.0,0.23058333558820784,-2.2561502841146766,0.06237338649546871,46.11666711764157,3.0,0.0,0.16649629579138403,-0.04,0.0,False,0.005666177286137842,0.23058333558820782,0.2833100708555471,0.04258774810914817,4.2587748109148164e-06,4.258774810914817e-06,0.04611745271629698,0.0,-0.14043326326812444,-2.318523670610145,-2.4226465799060604,0.14043326326812444
17.0,0.0,0.0,0.24773420154934256,-2.4885158074813463,0.2884157054925975,49.546840309868514,3.0,0.0,0.1901654351605953,0.04,0.0,False,0.005367540985829808,0.24773420154934256,0.2683781916399809,0.042565058879555154,4.256505887955516e-06,4.256505887955516e-06,0.04954768389194785,0.0,-0.2323655233666697,-2.7769315129739436,-2.6786812426419417,0.2323655233666697
18.0,0.0,0.0,0.26680550229180094,-2.501585803758914,0.11710002339744777,53.36110045836019,3.0,0.0,0.22124445548312707,0.23,0.0,False,0.005174471726278765,0.26680550229180094,0.25872468718778946,0.042550192925283656,4.255019292528367e-06,4.2550192925283665e-06,0.053362008664543416,0.0,-0.013069996277567775,-2.618685827156362,-2.7228302592420413,0.013069996277567775
19.0,0.0,0.0,0.2669956174226053,-2.1369394770138443,0.08652309366803192,53.399123484521056,3.0,0.0,0.1795959785646422,-0.03,0.0,False,0.005107901943942671,0.2669956174226053,0.25539618365940675,0.0425404514451206,4.254045144512061e-06,4.254045144512061e-06,0.05340003212978355,0.0,0.3646463267450697,-2.2234625706818765,-2.3165354555784865,0.3646463267450697
20.0,0.0,0.0,0.2299784526798862,-2.9735042992085323,0.10008648597048235,45.99569053597724,3.0,0.0,0.16842716103763372,0.0,0.0,False,0.0050890920274895305,0.2299784526798862,0.25445568367339316,0.04253406740151187,4.253406740151185e-06,4.253406740151186e-06,0.045996473086169304,0.0,-0.836564822194688,-3.0735907851790145,-3.141931460246166,0.836564822194688
21.0,0.0,0.0,0.31980015370467163,-2.3138680128267426,0.2121344220124697,63.96003074093432,3.0,0.0,0.16289395938005327,0.02,0.0,False,0.005006773527141601,0.31980015370467163,0.2503397410445516,0.04252988339718566,4.252988339718564e-06,4.252988339718564e-06,0.0639611188213665,0.0,0.6596362863817897,-2.5260024348392123,-2.4767619722067957,0.6596362863817897
22.0,0.0,0.0,0.25251761024640174,-2.269697245962754,0.1973849819356708,50.50352204928035,3.0,0.0,0.22456524315441986,0.03,0.0,False,0.004858778906688181,0.25251761024640174,0.24293997848429116,0.042527141159834476,4.252714115983449e-06,4.252714115983449e-06,0.05050438115379131,0.0,0.044170766863988575,-2.467082227898425,-2.494262489117174,0.044170766863988575
23.0,0.0,0.0,0.25508300977753406,-2.5844012339923665,0.37988796263172925,51.01660195550681,3.0,0.0,0.21136178389755503,0.13,0.0,False,0.005349407356451523,0.25508300977753406,0.26747150524951174,0.04252534382553204,4.252534382553201e-06,4.252534382553203e-06,0.05101746975123207,0.0,-0.3147039880296125,-2.9642891966240956,-2.7957630178899215,0.3147039880296125
24.0,0.0,0.0,0.2896819430163434,-2.7066815603041783,0.4056988023305944,57.93638860326869,3.0,0.0,0.28118708927606123,0.08,0.0,False,0.005289861892747677,0.2896819430163434,0.2644942193722044,0.04252416578609152,4.252416578609152e-06,4.252416578609151e-06,0.05793737407771562,0.0,-0.12228032631181174,-3.112380362634773,-2.9878686495802396,0.12228032631181174
25.0,0.0,0.0,0.3025030088839137,-2.724463594924445,0.2900950241297273,60.50060177678274,3.0,0.0,0.31247978858591663,-0.05,0.0,False,0.005119579522498883,0.30250300888391374,0.2559800646344208,0.042523393647102156,4.252339364710216e-06,4.252339364710216e-06,0.060501630848768834,0.0,-0.017782034620266618,-3.0145586190541724,-3.0369433835103616,0.017782034620266618
26.0,0.0,0.0,0.3075453543357274,-2.6017844821314506,0.4371392836454384,61.50907086714548,3.0,0.0,0.31841284580758744,-0.11,0.0,False,0.005408834758959688,0.3075453543357274,0.2704428879443456,0.042522887549586885,4.252288754958689e-06,4.252288754958688e-06,0.06151011708001817,0.0,0.12267911279299426,-3.038923765776889,-2.920197327939038,0.12267911279299426
27.0,0.0,0.0,0.301290935093982,-2.6383431119958156,0.5739080899287786,60.258187018796406,3.0,0.0,0.35105533701542235,0.28,0.0,False,0.004683211662870914,0.301290935093982,0.2341615788541926,0.04252255582707921,4.252255582707923e-06,4.252255582707922e-06,0.06025921194728676,0.0,-0.03655862986436498,-3.212251201924594,-2.989398449011238,0.03655862986436498
28.0,0.0,0.0,0.31012613882218376,-3.1233125330256213,0.5855336837730817,62.02522776443675,3.0,0.0,0.41118892711140836,0.16,0.0,False,0.005124392701060788,0.31012613882218376,0.25622072455884193,0.04252233839831703,4.252233839831701e-06,4.252233839831702e-06,0.062026282743040444,0.0,-0.48496942102980567,-3.708846216798703,-3.5345014601370295,0.48496942102980567
29.0,0.0,0.0,0.3626676986974119,-2.734434381507672,0.5408012565267203,72.53353973948238,3.0,0.0,0.4629842126691285,0.0,0.0,False,0.005008962764395078,0.3626676986974119,0.2504492031802331,0.04252219588353538,4.252219588353537e-06,4.252219588353538e-06,0.0725347734483904,0.0,0.38887815151794936,-3.2752356380343923,-3.1974185941768005,0.38887815151794936
30.0,0.0,0.0,0.3245931818534293,-2.4074059517046167,0.5904435709423977,64.91863637068586,3.0,0.0,0.5034415610831237,0.07,0.0,False,0.00508247183855316,0.3245931818534293,0.25412467251459975,0.042522102471379226,4.2522102471379225e-06,4.2522102471379225e-06,0.06491974055675385,0.0,0.32702842980305524,-2.9978495226470145,-2.9108475127877402,0.32702842980305524
31.0,0.0,0.0,0.29209905033518996,-2.044531800621183,0.5750628777349728,58.41981006703799,3.0,0.0,0.5115664489493236,-0.08,0.0,False,0.005159184985416192,0.29209905033519,0.2579603461661933,0.042522041243776856,4.252204124377685e-06,4.252204124377686e-06,0.05842080371464202,0.0,0.3628741510834339,-2.6195946783561554,-2.5560982495705065,0.3628741510834339
32.0,0.0,0.0,0.25824315758704314,-1.06068594585222,0.6491023661547594,51.64863151740863,3.0,0.0,0.5136466548866094,0.07,0.0,False,0.005108293250279975,0.25824315758704314,0.2554157485882551,0.04252200111172609,4.252200111172611e-06,4.25220011117261e-06,0.05164950999493991,0.0,0.9838458547689628,-1.7097883120069794,-1.5743326007388294,0.9838458547689628
