t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,-0.01018759725166652,0.09120557993185886,-0.18683597581579012,-2.037519450333304,1.0,0.0,0.0,-0.42,0.0,False,0.009422512809003069,0.011331483218325816,0.4711442726178014,0.39548192771084345,3.954819277108434e-05,3.954819277108435e-05,-0.0020378417584345867,0.0,0.0,0.278041555747649,0.09120557993185886,0.0
1.0,0.0,0.0,-0.017724025970023247,-0.10398781970348793,-0.1838170833557969,-3.544805194004649,1.0,0.0,-0.10189611756966432,0.09,0.0,False,0.008576362090530566,0.01787125458436499,0.42882881249713506,0.24970892072370304,2.4970892072370302e-05,2.4970892072370302e-05,-0.0035451592529551494,0.0,-0.1951933996353468,0.07982926365230898,-0.002091702133823606,0.1951933996353468
2.0,0.0,0.0,-0.005620871138243073,0.02322975676092441,-0.21694955405695693,-1.1241742276486146,1.0,0.0,-0.08605680900535286,0.05,0.0,False,0.007552385849862929,0.00776407040452284,0.3776262998130519,0.1855657283607953,1.8556572836079535e-05,1.8556572836079532e-05,-0.0011242576693839647,0.0,0.12721757646441234,0.24017931081788135,0.10928656576627727,0.12721757646441234
3.0,0.0,0.0,-0.01973000607222326,0.15273781182183743,-0.23992469312732753,-3.9460012144446517,1.0,0.0,-0.16020174629115258,0.09,0.0,False,0.007158745268112447,0.01973390845300852,0.3579426444385249,0.15033452654348473,1.5033452654348474e-05,1.503345265434847e-05,-0.003946238498967169,0.0,0.129508055060913,0.392662504949165,0.31293955811299,0.129508055060913
4.0,0.0,0.0,-0.03837582323554316,0.3302827655741595,-0.2734310244055898,-7.675164647108632,1.0,0.0,-0.1740851344669159,0.2,0.0,False,0.006612697282794701,0.03837582323554316,0.3306391164477302,0.12861039341098898,1.28610393410989e-05,1.2861039341098898e-05,-0.007675559484408509,0.0,0.17754495375232204,0.6037137899797493,0.5043679000410753,0.17754495375232204
5.0,0.0,0.0,-0.054698276381122346,0.8965827931527613,-0.1646722192798864,-10.93965527622447,1.0,0.0,-0.2310450981822127,0.04,0.0,False,0.006056090365798043,0.054698276381122346,0.3028079777554306,0.11424748706068398,1.1424748706068395e-05,1.1424748706068397e-05,-0.010940155201762787,0.0,0.5663000275786019,1.0612550124326479,1.127627891334974,0.5663000275786019
6.0,0.0,0.0,-0.11073056255451011,1.0057280428150972,-0.11509617892962071,-22.14611251090202,1.0,0.0,-0.21673124394017906,0.0,0.0,False,0.005932782294386654,0.11073056255451011,0.2966422089278861,0.10430885206491432,1.0430885206491433e-05,1.0430885206491434e-05,-0.02214703651549332,0.0,0.10914524966233585,1.120824221744718,1.2224592867552762,0.10914524966233585
7.0,0.0,0.0,-0.12250270787613048,0.7609102090550653,-0.039148417914276784,-24.500541575226094,1.0,0.0,-0.21078058328168237,0.0,0.0,False,0.005717321328971848,0.12250270787613048,0.28586884543828717,0.09721299660661761,9.721299660661762e-06,9.721299660661762e-06,-0.02450149427439062,0.0,-0.24481783376003186,0.8000586269693422,0.9716907923367477,0.24481783376003186
8.0,0.0,0.0,-0.10052881311749923,0.6448859610042227,-0.0760421074127617,-20.105762623499846,1.0,0.0,-0.21935858022283244,-0.04,0.0,False,0.005439109096030764,0.10052881311749923,0.2719579576842937,0.09203282049648383,9.20328204964838e-06,9.203282049648383e-06,-0.02010650277270503,0.0,-0.11602424805084266,0.7209280684169844,0.8642445412270552,0.11602424805084266
9.0,0.0,0.0,-0.08702866249842738,0.7238704473041471,-0.12607595838743524,-17.405732499685474,1.0,0.0,-0.24442418187098866,0.02,0.0,False,0.005523361967806026,0.08702866249842738,0.27617053390056207,0.08818941343401722,8.818941343401728e-06,8.818941343401726e-06,-0.017406346494806494,0.0,0.07898448629992438,0.8499464056915823,0.9682946291751358,0.07898448629992438
10.0,0.0,0.0,-0.09269253435781254,0.8398504285933526,-0.10862917795549941,-18.538506871562507,1.0,0.0,-0.22543903901353904,0.08,0.0,False,0.005291382046316563,0.09269253435781252,0.2645713591808581,0.08530342395407306,8.530342395407304e-06,8.530342395407304e-06,-0.018539139425411057,0.0,0.1159799812892055,0.948479606548852,1.0652894676068916,0.1159799812892055
11.0,0.0,0.0,-0.10416800552436062,1.1307139620932638,-0.22177429783351071,-20.833601104872123,1.0,0.0,-0.20309443122675638,0.03,0.0,False,0.005094067644694743,0.10416800552436062,0.2547054992474015,0.08311678650488098,8.311678650488098e-06,8.311678650488098e-06,-0.020834293747905148,0.0,0.29086353349991123,1.3524882599267745,1.3338083933200202,0.29086353349991123
