t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.017450356387265522,0.14078564692711953,0.0992144740949791,3.4900712774531044,3.0,0.0,0.0,-0.77,0.0,False,0.013559482600350163,0.018358557341505828,0.6779865296146375,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,0.003490326595079059,0.0,0.0,0.04157117283214043,0.14078564692711953,0.0
1.0,0.0,0.0,0.00539865050525623,-0.8027728474007563,0.28022158354131477,1.079730101051246,3.0,0.0,0.17451952151612438,0.27,0.0,False,0.009921619155740701,0.00907847432872949,0.49608609221045247,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,0.0010797748012885834,0.0,-0.9435584943278759,-1.0829944309420712,-0.9772923689168806,0.9435584943278759
2.0,0.0,0.0,0.10883196342000936,-0.4299576879999125,0.389680579507455,21.76639268400187,3.0,0.0,0.1947749457734308,0.18,0.0,False,0.008794579824193531,0.10883196342000936,0.43973230037682703,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,0.02176704788837593,0.0,0.37281515940084375,-0.8196382675073675,-0.6247326337733433,0.37281515940084375
3.0,0.0,0.0,0.07678926007289616,-0.4142374579666675,0.4227552202840834,15.357852014579231,3.0,0.0,0.2855877373808861,0.13,0.0,False,0.007816265413929787,0.07678926007289616,0.39081568205667067,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,0.015358231050677518,0.0,0.01572023003324502,-0.8369926782507509,-0.6998251953475536,0.01572023003324502
4.0,0.0,0.0,0.08453939439757048,-0.7317052675770714,0.48853030015211796,16.907878879514097,3.0,0.0,0.33795860263136035,0.16,0.0,False,0.007272728012664426,0.08453939439757051,0.3636383743004533,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,0.016908245953276016,0.0,-0.31746780961040394,-1.2202355677291894,-1.0696638702084318,0.31746780961040394
5.0,0.0,0.0,0.11798059160160847,-1.186283219863355,0.4888660200656231,23.596118320321693,3.0,0.0,0.4311794282436775,0.08,0.0,False,0.006784043529918293,0.11798059160160847,0.33920386949694753,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,0.023596589402833174,0.0,-0.4545779522862836,-1.6751492399289782,-1.6174626481070327,0.4545779522862836
6.0,0.0,0.0,0.17103590178963382,-1.2886718195869382,0.6897656988414758,34.20718035792677,3.0,0.0,0.4481300912429329,0.16,0.0,False,0.0062501326281783716,0.17103590178963382,0.31250810765802944,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,0.03420782671964796,0.0,-0.10238859972358316,-1.978437518428414,-1.7368019108298711,0.10238859972358316
7.0,0.0,0.0,0.1869089818736575,-0.2013800857807866,0.6233623323632269,37.3817963747315,3.0,0.0,0.5241161958313925,0.16,0.0,False,0.006029537313694037,0.18690898187365745,0.301478239266562,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,0.03738247764390067,0.0,1.0872917338061516,-0.8247424181440135,-0.725496281612179,1.0872917338061516
8.0,0.0,0.0,0.08198198511055303,0.6152038757913051,0.6205236232100535,16.396397022110605,3.0,0.0,0.5804605786667092,0.0,0.0,False,0.005621285315122307,0.08198198511055303,0.2810655162867734,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,0.01639668882876732,0.0,0.8165839615720917,-0.005319747418748411,0.034743297124595895,0.8165839615720917
9.0,0.0,0.0,0.000789806049471135,0.06581758054802056,0.7512551210750039,0.157961209894227,3.0,0.0,0.618458003321934,-0.07,0.0,False,0.005850850404113514,0.004658403199207325,0.2925438016740756,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,0.00015796397764794766,0.0,-0.5493862952432845,-0.6854375405269834,-0.5526404227739135,0.5493862952432845
10.0,0.0,0.0,0.05624508148559288,0.5612596001250327,0.7555109834979852,11.249016297118576,3.0,0.0,0.6231021092713818,0.16,0.0,False,0.0052998844743899175,0.05624508148559288,0.26499537270051143,0.0433587192744284,4.335871927442841e-06,4.3358719274428405e-06,0.011249211393448559,0.0,0.49544201957701217,-0.19425138337295245,-0.061842509146349034,0.49544201957701217
11.0,0.0,0.0,0.0071528352139854645,0.26165747548594737,0.7591133833373467,1.430567042797093,3.0,0.0,0.6282805889774429,0.06,0.0,False,0.00525567274080523,0.007736905290965921,0.26278476881651897,0.04306874926707378,4.3068749267073785e-06,4.306874926707378e-06,0.001430591687784261,0.0,-0.29960212463908537,-0.4974559078513993,-0.3666231134914955,0.29960212463908537
12.0,0.0,0.0,0.03481305371375068,-0.41991641972875254,0.6328496581066494,6.962610742750137,3.0,0.0,0.6327894925832193,-0.06,0.0,False,0.005111528298627498,0.03481305371375068,0.25557751083373714,0.042879635920764284,4.287963592076431e-06,4.28796359207643e-06,0.006962730163923539,0.0,-0.6815738952146999,-1.052766077835402,-1.0527059123119717,0.6815738952146999
13.0,0.0,0.0,0.10390828275590015,-0.2920202345475324,0.5799050139407321,20.78165655118003,3.0,0.0,0.6097954764787965,-0.06,0.0,False,0.005374075742075045,0.10390828275590015,0.26870493597596434,0.04275608559413131,4.2756085594131314e-06,4.275608559413132e-06,0.020782011966574924,0.0,0.12789618518122015,-0.8719252484882645,-0.901815711026329,0.12789618518122015
14.0,0.0,0.0,0.09158968953743604,-0.2443926846517649,0.5899151026803205,18.31793790748721,3.0,0.0,0.6191886213874062,0.07,0.0,False,0.005144525793625737,0.09158968953743607,0.25722738740160506,0.042675277071923805,4.26752770719238e-06,4.267527707192379e-06,0.01831825059538304,0.0,0.04762754989576751,-0.8343077873320854,-0.863581306039171,0.04762754989576751
15.0,0.0,0.0,0.08750845547838089,0.4772031276860506,0.6557918551711798,17.50169109567618,3.0,0.0,0.6238962039037176,0.07,0.0,False,0.005006590742705137,0.08750845547838089,0.25033060409944385,0.04262238484319971,4.2622384843199725e-06,4.262238484319972e-06,0.0175019894799297,0.0,0.7215958123378154,-0.17858872748512916,-0.14669307621766697,0.7215958123378154
16.0,0.0,0.0,0.018205040163005625,0.5807020292575991,0.612277197834149,3.641008032601125,3.0,0.0,0.630710519227376,-0.02,0.0,False,0.0048280641120512025,0.018205040163005625,0.2414042336844514,0.04258774810914817,4.2587748109148164e-06,4.258774810914817e-06,0.003641070057270156,0.0,0.10349890157154845,-0.03157516857654996,-0.050008489969776915,0.10349890157154845
17.0,0.0,0.0,0.013774800687785232,0.3040372395593345,0.7085536654146588,2.7549601375570463,3.0,0.0,0.6592574058744306,-0.05,0.0,False,0.00482217187504026,0.013774800687785232,0.24110962003216194,0.042565058879555154,4.256505887955516e-06,4.256505887955516e-06,0.002755007043373578,0.0,-0.2766647896982646,-0.4045164258553243,-0.3552201663150961,0.2766647896982646
18.0,0.0,0.0,0.04098874889926722,0.2750615163987587,0.6811315617750408,8.197749779853444,3.0,0.0,0.718452967761463,0.03,0.0,False,0.0049089365533665896,0.04098874889926721,0.24544787204931645,0.042550192925283656,4.255019292528367e-06,4.2550192925283665e-06,0.008197889305593628,0.0,-0.028975723160575784,-0.40607004537628205,-0.44339145136270425,0.028975723160575784
19.0,0.0,0.0,0.04264008812476959,1.322668816571848,0.6419097754951608,8.528017624953918,3.0,0.0,0.7139334489478735,-0.07,0.0,False,0.005008909155479401,0.0426400881247696,0.2504465231802537,0.0425404514451206,4.254045144512061e-06,4.254045144512061e-06,0.008528162738624476,0.0,1.0476073001730895,0.6807590410766873,0.6087353676239746,1.0476073001730895
20.0,0.0,0.0,-0.06382781476769553,0.9220311183086827,0.5805751218317738,-12.765562953539106,3.0,0.0,0.7014714672894471,0.03,0.0,False,0.005003440865038554,0.06382781476769553,0.25017310733538267,0.04253406740151187,4.253406740151185e-06,4.253406740151186e-06,-0.012765780141141351,0.0,-0.4006376982631654,0.34145599647690883,0.22055965101923558,0.4006376982631654
21.0,0.0,0.0,-0.02620115924525507,0.5584586028947396,0.42420015976996683,-5.240231849051014,3.0,0.0,0.6843770946120157,0.14,0.0,False,0.0047605723981091926,0.02620115924525507,0.2380296322384046,0.04252988339718566,4.252988339718564e-06,4.252988339718564e-06,-0.005240320995251679,0.0,-0.3635725154139431,0.13425844312477275,-0.1259184917172761,0.3635725154139431
22.0,0.0,0.0,0.010330151553744869,0.5220899247971369,0.5294982831513979,2.0660303107489737,3.0,0.0,0.6600139541948943,-0.04,0.0,False,0.004715883671954696,0.010401399815451899,0.2357951863629878,0.042527141159834476,4.252714115983449e-06,4.252714115983449e-06,0.002066065455544579,0.0,-0.03636867809760269,-0.007408358354261013,-0.1379240293977574,0.03636867809760269
23.0,0.0,0.0,0.018724186226490934,0.16739825547335352,0.6179139217059957,3.7448372452981866,3.0,0.0,0.6617623149912549,-0.13,0.0,False,0.005067183792981747,0.018724186226490934,0.2533602670677525,0.04252534382553204,4.252534382553201e-06,4.252534382553203e-06,0.003744900945223872,0.0,-0.3546916693237834,-0.45051566623264216,-0.4943640595179014,0.3546916693237834
24.0,0.0,0.0,0.05659346985491119,-0.6981987034213186,0.5802102184910942,11.318693970982238,3.0,0.0,0.7093357683243319,0.01,0.0,False,0.00507752098244372,0.0565934698549112,0.2538771287089062,0.04252416578609152,4.252416578609152e-06,4.252416578609151e-06,0.011318886497371092,0.0,-0.8655969588946721,-1.2784089219124128,-1.4075344717456506,0.8655969588946721
25.0,0.0,0.0,0.14299104519884515,-0.5621451038056762,0.7354570293625885,28.598209039769028,3.0,0.0,0.7333449869729378,0.0,0.0,False,0.005096020801574189,0.14299104519884515,0.25480212357920234,0.042523393647102156,4.252339364710216e-06,4.252339364710216e-06,0.028598695474860766,0.0,0.13605359961564245,-1.2976021331682648,-1.295490090778614,0.13605359961564245
26.0,0.0,0.0,0.13594059448105875,-0.581357215028872,0.7581772361329902,27.188118896211748,3.0,0.0,0.7317421508896469,0.01,0.0,False,0.005153447671604643,0.13594059448105875,0.25767347927761125,0.042522887549586885,4.252288754958689e-06,4.252288754958688e-06,0.027188581341174297,0.0,-0.019212111223195882,-1.339534451161862,-1.3130993659185188,0.019212111223195882
27.0,0.0,0.0,0.14172643472345892,-0.847879807827072,0.9103030285919862,28.345286944691786,3.0,0.0,0.7972897439379736,0.09,0.0,False,0.0053107199879873996,0.14172643472345892,0.2655371285263058,0.04252255582707921,4.252255582707923e-06,4.252255582707922e-06,0.028345769068260286,0.0,-0.2665225927981999,-1.7581828364190581,-1.6451695517650455,0.2665225927981999
28.0,0.0,0.0,0.17976393202609597,-1.0206140406684796,0.9967020535098365,35.95278640521919,3.0,0.0,0.8359372650568807,0.26,0.0,False,0.005005115156482986,0.17976393202609597,0.25025682197015137,0.04252233839831703,4.252233839831701e-06,4.252233839831702e-06,0.03595339792123885,0.0,-0.17273423284140765,-2.017316094178316,-1.8565513057253602,0.17273423284140765
29.0,0.0,0.0,0.19867896869071525,-0.9004031963350044,1.0140903135865589,39.73579373814305,3.0,0.0,0.9497977323476354,-0.13,0.0,False,0.005316066713122981,0.19867896869071525,0.26580446591029955,0.04252219588353538,4.252219588353537e-06,4.252219588353538e-06,0.039736469596551145,0.0,0.12021084433347518,-1.9144935099215634,-1.8502009286826397,0.12021084433347518
30.0,0.0,0.0,0.18428284082763483,-1.014409474658682,0.9107075929176419,36.856568165526966,3.0,0.0,0.9662178875687972,0.06,0.0,False,0.005428524000911489,0.18428284082763483,0.27142735420684366,0.042522102471379226,4.2522102471379225e-06,4.2522102471379225e-06,0.036857195050368635,0.0,-0.1140062783236776,-1.9251170675763238,-1.9806273622274793,0.1140062783236776
31.0,0.0,0.0,0.19133448388008215,0.16182676588670086,0.9477296684231813,38.26689677601643,3.0,0.0,0.9424643924105515,0.07,0.0,False,0.005322497531909175,0.19133448388008212,0.2661260082127566,0.042522041243776856,4.252204124377685e-06,4.252204124377686e-06,0.03826754764787396,0.0,1.176236240545383,-0.7859029025364804,-0.7806376265238506,1.176236240545383
32.0,0.0,0.0,0.07180674268895632,0.22762972736367432,0.705969661004178,14.361348537791262,3.0,0.0,0.8989760438062129,0.05,0.0,False,0.005356885724536445,0.07180674268895632,0.2678454251543259,0.04252200111172609,4.252200111172611e-06,4.25220011117261e-06,0.014361592806063986,0.0,0.06580296147697345,-0.4783399336405037,-0.6713463164425386,0.06580296147697345
33.0,0.0,0.0,0.06285248910010686,-0.5011698519562633,0.7143077693757363,12.570497820021373,3.0,0.0,0.8799094596082265,0.11,0.0,False,0.00512104102474207,0.06285248910010686,0.2560531400209907,0.04252197480688926,4.2521974806889265e-06,4.252197480688927e-06,0.012570711628068866,0.0,-0.7287995793199376,-1.2154776213319995,-1.38107931156449,0.7287995793199376
34.0,0.0,0.0,0.13395039835313505,-0.6224634718049724,0.6576366828790684,26.790079670627012,3.0,0.0,0.8561679814245334,0.04,0.0,False,0.005042340880212528,0.13395039835313508,0.25211811606165113,0.042521957565193544,4.2521957565193565e-06,4.252195756519356e-06,0.0267905353353418,0.0,-0.12129361984870912,-1.2801001546840407,-1.478631453229506,0.12129361984870912
35.0,0.0,0.0,0.14244838473858773,-0.36855294740754785,0.6399743300138182,28.489676947717545,3.0,0.0,0.8383626107408603,0.15,0.0,False,0.005285621843966551,0.14244838473858773,0.2642822159729677,0.04252194626399751,4.252194626399752e-06,4.252194626399751e-06,0.028490161520261945,0.0,0.25391052439742456,-1.008527277421366,-1.2069155581484081,0.25391052439742456
36.0,0.0,0.0,0.11810930554157582,-0.3883185770784449,0.8557030209142334,23.621861108315166,3.0,0.0,0.802050661493711,0.13,0.0,False,0.004926515561726917,0.11810930554157582,0.24632682551131324,0.04252193885654483,4.2521938856544815e-06,4.252193885654482e-06,0.023622262885540212,0.0,-0.019765629670897067,-1.2440215979926783,-1.1903692385721558,0.019765629670897067
37.0,0.0,0.0,0.1259206815310726,0.6386735225570911,0.9931268564433273,25.184136306214523,3.0,0.0,0.812565219191553,0.05,0.0,False,0.005015165917398487,0.1259206815310726,0.25075936214269506,0.04252193400127473,4.2521934001274746e-06,4.252193400127474e-06,0.025184564655665834,0.0,1.026992099635536,-0.35445333388623623,-0.1738916966344619,1.026992099635536
38.0,0.0,0.0,0.025852241444651015,0.2057734824505446,1.070963259222376,5.170448288930203,3.0,0.0,0.8709150101868274,0.11,0.0,False,0.0049684163495331115,0.02585224144465101,0.24842187380993702,0.042521930818851625,4.2521930818851625e-06,4.2521930818851625e-06,0.005170536231534028,0.0,-0.4329000401065465,-0.8651897767718313,-0.6651415277362828,0.4329000401065465
39.0,0.0,0.0,0.0754601750726745,0.9194563361631034,0.9859524769692841,15.092035014534899,3.0,0.0,0.8972014334397121,-0.01,0.0,False,0.005531533429587674,0.0754601750726745,0.2765778475367351,0.04252192873290852,4.252192873290852e-06,4.252192873290853e-06,0.015092291710418307,0.0,0.7136828537125588,-0.06649614080618071,0.022254902723391257,0.7136828537125588
40.0,0.0,0.0,0.001815353617275784,0.9028042581054952,0.8375803164445095,0.36307072345515684,3.0,0.0,0.9603912767382226,-0.07,0.0,False,0.005413954224736552,0.004596995828071545,0.2706988622956691,0.04252192736566145,4.2521927365661454e-06,4.252192736566145e-06,0.0003630768988156704,0.0,-0.016652078057608155,0.06522394166098577,-0.057587018632727305,0.016652078057608155
41.0,0.0,0.0,0.003619497491241091,0.9918963969407942,0.8569391204395543,0.7238994982482182,3.0,0.0,0.9376102582975345,0.01,0.0,False,0.005548755981060033,0.005318913703704633,0.2774389787719707,0.04252192646948904,4.252192646948904e-06,4.252192646948905e-06,0.0007239118108363565,0.0,0.08909213883529898,0.1349572765012399,0.05428613864325971,0.08909213883529898
42.0,0.0,0.0,-0.003319784318720011,1.2020036240102003,1.0623015746908848,-0.6639568637440022,3.0,0.0,0.939000002557937,-0.02,0.0,False,0.005803352743097376,0.005277163220333998,0.2901688710035448,0.04252192588208612,4.252192588208611e-06,4.252192588208612e-06,-0.000663968156785802,0.0,0.2101072270694061,0.1397020493193155,0.2630036214522633,0.2101072270694061
43.0,0.0,0.0,-0.01539527236802102,1.56304690834989,1.0076135576228404,-3.079054473604204,3.0,0.0,0.9586978479354804,-0.04,0.0,False,0.005723327191395076,0.01539527236802102,0.286167576404216,0.042521925497068444,4.252192549706844e-06,4.252192549706844e-06,-0.003079106844311484,0.0,0.3610432843396896,0.5554333507270495,0.6043490604144095,0.3610432843396896
44.0,0.0,0.0,-0.05153008664465959,1.3616238208283402,1.0676034500800544,-10.306017328931919,3.0,0.0,1.048047627146867,0.09,0.0,False,0.005524737530904759,0.05153008664465959,0.2762380511576194,0.042521925244705674,4.2521925244705684e-06,4.252192524470569e-06,-0.010306192620865913,0.0,-0.2014230875215497,0.2940203707482858,0.31357619368147316,0.2014230875215497
45.0,0.0,0.0,-0.027267338050498045,0.5047303811701646,1.0909330404114546,-5.453467610099609,3.0,0.0,1.0477350861108334,0.12,0.0,False,0.005210290768880239,0.027267338050498045,0.26051564620198053,0.04252192507929264,4.252192507929263e-06,4.2521925079292635e-06,-0.0054535603664816424,0.0,-0.8568934396581757,-0.58620265924129,-0.5430047049406689,0.8568934396581757
46.0,0.0,0.0,0.065199851974279,0.14784648810991663,1.1895090513502977,13.0399703948558,3.0,0.0,1.0889446430248315,-0.01,0.0,False,0.005525074918481184,0.06519985197427901,0.27625492060816487,0.042521924970871386,4.252192497087138e-06,4.252192497087139e-06,0.01304019218776978,0.0,-0.3568838930602479,-1.041662563240381,-0.9410981549149149,0.3568838930602479
47.0,0.0,0.0,0.10367799338411825,-0.20302460070858827,1.1853492773901342,20.73559867682365,3.0,0.0,1.1567427630290223,0.12,0.0,False,0.005309679844461732,0.10367799338411826,0.26548512111212447,0.04252192489980588,4.252192489980587e-06,4.252192489980588e-06,0.020735951362351835,0.0,-0.35087108881850493,-1.3883738780987225,-1.3597673637376106,0.35087108881850493
48.0,0.0,0.0,0.14466518525492134,-0.20904480340168738,1.2349465117701661,28.933037050984268,3.0,0.0,1.1846484648903413,0.05,0.0,False,0.0051094277056388665,0.14466518525492134,0.255472471595448,0.04252192485322546,4.252192485322546e-06,4.252192485322545e-06,0.02893352916426259,0.0,-0.006020202693099108,-1.4439913151718535,-1.3936932682920287,0.006020202693099108
49.0,0.0,0.0,0.14229936471001936,1.3374857053310993,1.188458718048902,28.459872942003873,3.0,0.0,1.2436580090513052,0.01,0.0,False,0.0050635000006778496,0.1422993647100194,0.25317607658272434,0.04252192482269396,4.252192482269395e-06,4.252192482269396e-06,0.02846035700737661,0.0,1.5465305087327867,0.14902698728219743,0.09382769627979415,1.5465305087327867
50.0,0.0,0.0,-0.012361338879791956,1.0816552563545012,1.1452808203341764,-2.4722677759583913,3.0,0.0,1.2139790979129486,0.08,0.0,False,0.005150950915789953,0.012384283844073111,0.2575486409312352,0.04252192480268187,4.252192480268186e-06,4.252192480268186e-06,-0.002472309826013371,0.0,-0.2558304489765981,-0.06362556397967523,-0.13232384155844734,0.2558304489765981
