t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,-0.006699506963130114,0.3610669574729782,-0.1342940099469868,-1.3399013926260228,3.0,0.0,0.0,-0.76,0.0,False,0.013511327847691731,0.011955266587550712,0.6755787479461467,0.18289189189189195,1.8289189189189194e-05,1.8289189189189194e-05,-0.0013399994136735552,0.0,0.0,0.49536096741996494,0.3610669574729782,0.0
1.0,0.0,0.0,-0.042882315264966414,0.6961858330667497,-0.048919869454175396,-8.576463052993283,3.0,0.0,-0.06700119605881726,0.18,0.0,False,0.010303800068524096,0.042882315264966414,0.5151953356276863,0.10349970779853253,1.0349970779853254e-05,1.0349970779853254e-05,-0.008576818113886381,0.0,0.33511887559377157,0.7451057025209251,0.763187029125567,0.33511887559377157
2.0,0.0,0.0,-0.07298371219456093,0.7946514560161242,-0.07065452219576993,-14.596742438912186,3.0,0.0,-0.06777838671218399,0.15,0.0,False,0.00871484899440701,0.07298371219456092,0.4357457288869043,0.07525469588680311,7.525469588680311e-06,7.525469588680309e-06,-0.01459718182497086,0.0,0.09846562294937444,0.8653059782118941,0.8624298427283081,0.09846562294937444
3.0,0.0,0.0,-0.08759271821426184,1.4421589606198824,-0.20165467212033994,-17.518543642852368,3.0,0.0,-0.03367875071418837,0.14,0.0,False,0.007705347546924416,0.08759271821426182,0.3852697544876399,0.061701082387537146,6.170108238753715e-06,6.170108238753715e-06,-0.01751897600542649,0.0,0.6475075046037582,1.6438136327402222,1.4758377113340708,0.6475075046037582
4.0,0.0,0.0,-0.15788442656119422,1.1749463409430645,-0.32500439133420905,-31.576885312238844,3.0,0.0,-0.0813027489541097,0.13,0.0,False,0.006711797415609473,0.1578844265611942,0.33559169222279955,0.05427584335912398,5.427584335912399e-06,5.4275843359123984e-06,-0.031577570853350403,0.0,-0.26721261967681786,1.4999507322772736,1.256249089897174,0.26721261967681786
5.0,0.0,0.0,-0.13688567362827697,1.4855273227327856,-0.3875554179726798,-27.37713472565539,3.0,0.0,-0.13672815154408421,0.07,0.0,False,0.006559445859217204,0.13688567362827694,0.3279739299121217,0.049911266793667725,4.991126679366772e-06,4.991126679366772e-06,-0.02737768129391754,0.0,0.31058098178972116,1.8730827407054655,1.6222554742768698,0.31058098178972116
6.0,0.0,0.0,-0.16481551734268202,1.1068607941239406,-0.3028582540992486,-32.9631034685364,3.0,0.0,-0.19394455602658892,0.0,0.0,False,0.005924651760312868,0.16481551734268202,0.29623398738785095,0.04723896911451465,4.723896911451467e-06,4.723896911451466e-06,-0.03296372632280475,0.0,-0.3786665286088451,1.4097190482231892,1.3008053501505294,0.3786665286088451
7.0,0.0,0.0,-0.13107850848930896,2.1709767937448383,-0.32478587018791655,-26.215701697861792,3.0,0.0,-0.1626667792696999,0.16,0.0,False,0.005530154763571337,0.13107850848930896,0.2765089979966709,0.04556176663690604,4.5561766636906065e-06,4.556176663690606e-06,-0.026216179469158173,0.0,1.0641159996208978,2.495762663932755,2.3336435730145384,1.0641159996208978
8.0,0.0,0.0,-0.2389700934501491,1.9853716829980923,-0.268711392939338,-47.79401869002982,3.0,0.0,-0.20395415161122368,0.1,0.0,False,0.005298012181722796,0.2389700934501491,0.26490178770033357,0.044492694745204016,4.449269474520401e-06,4.449269474520402e-06,-0.04779486928011899,0.0,-0.18560511074674602,2.25408307593743,2.189325834609316,0.18560511074674602
9.0,0.0,0.0,-0.21978715104197033,1.9790597789524027,-0.21151947616208183,-43.957430208394065,3.0,0.0,-0.21877730287375777,-0.03,0.0,False,0.005327280116583351,0.2197871510419703,0.26636517262384785,0.04380451768299382,4.380451768299385e-06,4.380451768299384e-06,-0.0439582004186317,0.0,-0.006311904045689598,2.1905792551144847,2.1978370818261603,0.006311904045689598
10.0,0.0,0.0,-0.21418948200490928,1.950691108736831,-0.07803975969445795,-42.837896400981855,3.0,0.0,-0.21254796577233037,0.1,0.0,False,0.005549733284633557,0.21418948200490928,0.2774878673783155,0.0433587192744284,4.335871927442841e-06,4.3358719274428405e-06,-0.04283863935629023,0.0,-0.028368670215571656,2.028730868431289,2.1632390745091614,0.028368670215571656
11.0,0.0,0.0,-0.20528806994338336,1.7143947397889003,-0.08743064493454886,-41.05761398867667,3.0,0.0,-0.16288147600479874,0.19,0.0,False,0.0052114545899781825,0.20528806994338336,0.26057385175306436,0.04306874926707378,4.3068749267073785e-06,4.306874926707378e-06,-0.041058321305663316,0.0,-0.2362963689479307,1.801825384723449,1.877276215793699,0.2362963689479307
12.0,0.0,0.0,-0.18148226396307787,1.3406330422910722,-0.10830688757159872,-36.296452792615575,3.0,0.0,-0.10223379819906267,0.03,0.0,False,0.005333235635529397,0.18148226396307787,0.2666629252124815,0.042879635920764284,4.287963592076431e-06,4.28796359207643e-06,-0.036297075341418454,0.0,-0.37376169749782817,1.4489399298626708,1.4428668404901348,0.37376169749782817
13.0,0.0,0.0,-0.1467916352628266,0.8583892417208059,-0.2697011900771853,-29.358327052565322,3.0,0.0,-0.10046680930890046,-0.07,0.0,False,0.005547526079373529,0.1467916352628266,0.2773774899211759,0.04275608559413131,4.2756085594131314e-06,4.275608559413132e-06,-0.029358829149276292,0.0,-0.4822438005702663,1.1280904317979912,0.9588560510297064,0.4822438005702663
14.0,0.0,0.0,-0.10189285898098363,0.92354815278801,-0.3578164296158253,-20.378571796196727,3.0,0.0,-0.12731469151580266,0.09,0.0,False,0.005323059996516079,0.10189285898098366,0.266154135641105,0.042675277071923805,4.26752770719238e-06,4.267527707192379e-06,-0.020378919659191305,0.0,0.06515891106720406,1.2813645824038353,1.0508628443038126,0.06515891106720406
15.0,0.0,0.0,-0.11704021669738401,1.0582917182066933,-0.391931436260385,-23.4080433394768,3.0,0.0,-0.16056108961897364,0.19,0.0,False,0.005296452938648191,0.11704021669738401,0.2648237756696869,0.04262238484319971,4.2622384843199725e-06,4.262238484319972e-06,-0.02340844242042847,0.0,0.13474356541868338,1.4502231544670783,1.2188528078256669,0.13474356541868338
