t,mean_abs_delta_real,mean_abs_delta_planning,mean_action,price,v_true,total_demand,mean_k,xs_k_std,mean_belief,mean_correctness,mean_salience,regime_post,xs_action_std,xs_action_mean_abs,xs_belief_std,xs_sigma_mean,xs_rho_mean,xs_rho_max,mean_myopic_term,mean_hedging_term,ret,mispricing_true,mispricing_belief,vol_proxy
0.0,0.0,0.0,0.01172645478296579,0.8409383969771249,0.011230239829551155,2.345290956593158,1.0,0.0,0.0,-0.97,0.0,False,0.009832906195632573,0.012866261011636,0.49166475346511485,0.39548192771084345,3.954819277108434e-05,3.954819277108435e-05,0.002345661949996461,0.0,0.0,0.8297081571475737,0.8409383969771249,0.0
1.0,0.0,0.0,-0.08346254177536784,0.6848581013567154,-0.08282725728061813,-16.692508355073567,1.0,0.0,0.11728773583437176,0.22,0.0,False,0.007787839140891781,0.08346254177536781,0.38940168050912227,0.24970892072370304,2.4970892072370302e-05,2.4970892072370302e-05,-0.016694175620738664,0.0,-0.15608029562040948,0.7676853586373336,0.5675703655223436,0.15608029562040948
2.0,0.0,0.0,-0.06900487990525915,1.0153085454948958,-0.3338260132946876,-13.80097598105183,1.0,0.0,0.006208772517308603,0.08,0.0,False,0.00753920402788056,0.06900487990525915,0.3769671964834615,0.1855657283607953,1.8556572836079535e-05,1.8556572836079532e-05,-0.013802000357306917,0.0,0.33045044413818037,1.3491345587895833,1.0090997729775872,0.33045044413818037
3.0,0.0,0.0,-0.10701659278339694,0.818855802836669,-0.26085173869859213,-21.403318556679388,1.0,0.0,-0.005254722399876115,0.17,0.0,False,0.006659393179838518,0.10701659278339695,0.33297466467552966,0.15033452654348473,1.5033452654348474e-05,1.503345265434847e-05,-0.021404605600435337,0.0,-0.19645274265822676,1.079707541535261,0.8241105252365452,0.19645274265822676
4.0,0.0,0.0,-0.08860469735850325,1.1755950773734078,-0.21842439575211156,-17.72093947170065,1.0,0.0,-0.05493782378311494,0.13,0.0,False,0.006191998274289262,0.08860469735850326,0.3096038954911334,0.12861039341098898,1.28610393410989e-05,1.2861039341098898e-05,-0.01772185109877499,0.0,0.3567392745367388,1.3940194731255193,1.2305329011565227,0.3567392745367388
5.0,0.0,0.0,-0.12798888850837428,1.4526037224206891,-0.2475285409690358,-25.597777701674858,1.0,0.0,-0.0672481481732892,0.18,0.0,False,0.005515021254697601,0.12798888850837428,0.27575421312147713,0.11424748706068398,1.1424748706068395e-05,1.1424748706068397e-05,-0.02559894748102111,0.0,0.2770086450472813,1.700132263389725,1.5198518705939783,0.2770086450472813
6.0,0.0,0.0,-0.15795995218138917,1.981664173219226,-0.18769565907706282,-31.591990436277836,1.0,0.0,-0.10436691975475286,-0.06,0.0,False,0.005349954674491869,0.1579599521813892,0.2675005239627468,0.10430885206491432,1.0430885206491433e-05,1.0430885206491434e-05,-0.031593308552231456,0.0,0.5290604507985368,2.169359832296289,2.086031092973979,0.5290604507985368
7.0,0.0,0.0,-0.20873157449724808,1.9782295844247502,-0.10377798530386383,-41.746314899449615,1.0,0.0,-0.12707818249962388,0.14,0.0,False,0.004969816050690499,0.20873157449724808,0.2484932181880793,0.09721299660661761,9.721299660661762e-06,9.721299660661762e-06,-0.041747938197416505,0.0,-0.003434588794475779,2.082007569728614,2.105307766924374,0.003434588794475779
8.0,0.0,0.0,-0.20389078399864002,1.7676116244049718,-0.02747302469295182,-40.778156799728,1.0,0.0,-0.1057530288624707,0.03,0.0,False,0.004905405139519797,0.20389078399863997,0.2452725142673432,0.09203282049648383,9.20328204964838e-06,9.203282049648383e-06,-0.040779657957426385,0.0,-0.2106179600197784,1.7950846490979235,1.8733646532674424,0.2106179600197784
9.0,0.0,0.0,-0.17884530000597024,1.9377577344449628,0.14225405023263918,-35.76906000119405,1.0,0.0,-0.06077207878127253,0.25,0.0,False,0.004591127382837983,0.17884530000597024,0.22955839358605362,0.08818941343401722,8.818941343401728e-06,8.818941343401726e-06,-0.03577032177103479,0.0,0.17014611003999103,1.7955036842123235,1.9985298132262352,0.17014611003999103
